2025-01-01 23:11:36,563 semantic_segmentation INFO: Using 1 GPUs
2025-01-01 23:11:36,563 semantic_segmentation INFO: Namespace(model='deeplabv3_plus', backbone='resnet101', dataset='citys', base_size=520, crop_size=480, workers=4, jpu=False, use_ohem=False, aux=False, aux_weight=0.4, batch_size=4, start_epoch=0, epochs=80, lr=0.001, momentum=0.9, weight_decay=0.0001, warmup_iters=0, warmup_factor=0.3333333333333333, warmup_method='linear', no_cuda=False, local_rank=0, resume=None, save_dir='~/.torch/models', save_epoch=10, log_dir='../runs/logs/', log_iter=10, val_epoch=1, skip_val=True, num_gpus=1, distributed=False, device='cuda')
Found 2975 images in the folder ../../.torch/datasets/citys/leftImg8bit/train
Found 500 images in the folder ../../.torch/datasets/citys/leftImg8bit/val
2025-01-01 23:11:37,622 semantic_segmentation INFO: Start training, Total Epochs: 80 = Total Iterations 59440
2025-01-01 23:11:59,156 semantic_segmentation INFO: Iters: 10/59440 || Lr: 0.001000 || Loss: 3.0171 || Cost Time: 0:00:21 || Estimated Time: 1 day, 10:50:13
2025-01-01 23:12:06,047 semantic_segmentation INFO: Iters: 20/59440 || Lr: 0.001000 || Loss: 3.0455 || Cost Time: 0:00:28 || Estimated Time: 23:06:06
2025-01-01 23:12:12,968 semantic_segmentation INFO: Iters: 30/59440 || Lr: 0.001000 || Loss: 3.0533 || Cost Time: 0:00:35 || Estimated Time: 19:12:37
2025-01-01 23:12:19,898 semantic_segmentation INFO: Iters: 40/59440 || Lr: 0.000999 || Loss: 3.0201 || Cost Time: 0:00:42 || Estimated Time: 17:15:44
2025-01-01 23:12:26,844 semantic_segmentation INFO: Iters: 50/59440 || Lr: 0.000999 || Loss: 3.0130 || Cost Time: 0:00:49 || Estimated Time: 16:05:49
2025-01-01 23:12:33,816 semantic_segmentation INFO: Iters: 60/59440 || Lr: 0.000999 || Loss: 2.9961 || Cost Time: 0:00:56 || Estimated Time: 15:19:42
2025-01-01 23:12:40,799 semantic_segmentation INFO: Iters: 70/59440 || Lr: 0.000999 || Loss: 2.9784 || Cost Time: 0:01:03 || Estimated Time: 14:46:53
2025-01-01 23:12:47,795 semantic_segmentation INFO: Iters: 80/59440 || Lr: 0.000999 || Loss: 2.9959 || Cost Time: 0:01:10 || Estimated Time: 14:22:20
2025-01-01 23:12:54,796 semantic_segmentation INFO: Iters: 90/59440 || Lr: 0.000999 || Loss: 2.9665 || Cost Time: 0:01:17 || Estimated Time: 14:03:25
2025-01-01 23:13:01,811 semantic_segmentation INFO: Iters: 100/59440 || Lr: 0.000998 || Loss: 2.9938 || Cost Time: 0:01:24 || Estimated Time: 13:48:18
2025-01-01 23:13:08,839 semantic_segmentation INFO: Iters: 110/59440 || Lr: 0.000998 || Loss: 3.0066 || Cost Time: 0:01:31 || Estimated Time: 13:36:02
