2025-01-02 00:39:55,059 semantic_segmentation INFO: Using 1 GPUs
2025-01-02 00:39:55,059 semantic_segmentation INFO: Namespace(model='fcn8s', backbone='vgg16', dataset='citys', base_size=520, crop_size=480, workers=4, jpu=False, use_ohem=False, aux=False, aux_weight=0.4, batch_size=4, start_epoch=0, epochs=160, lr=0.0001, momentum=0.9, weight_decay=0.0001, warmup_iters=0, warmup_factor=0.3333333333333333, warmup_method='linear', no_cuda=False, local_rank=0, resume=None, save_dir='~/.torch/models', save_epoch=10, log_dir='../runs/logs/', log_iter=10, val_epoch=1, skip_val=True, num_gpus=1, distributed=False, device='cuda')
Found 2975 images in the folder ../../.torch/datasets/citys/leftImg8bit/train
Found 500 images in the folder ../../.torch/datasets/citys/leftImg8bit/val
2025-01-02 00:39:58,088 semantic_segmentation INFO: Start training, Total Epochs: 160 = Total Iterations 118880
2025-01-02 00:40:04,063 semantic_segmentation INFO: Iters: 10/118880 || Lr: 0.000100 || Loss: 2.3210 || Cost Time: 0:00:05 || Estimated Time: 19:30:02
2025-01-02 00:40:05,183 semantic_segmentation INFO: Iters: 20/118880 || Lr: 0.000100 || Loss: 1.0804 || Cost Time: 0:00:07 || Estimated Time: 11:35:53
2025-01-02 00:40:06,305 semantic_segmentation INFO: Iters: 30/118880 || Lr: 0.000100 || Loss: 1.1592 || Cost Time: 0:00:08 || Estimated Time: 8:57:58
2025-01-02 00:40:07,425 semantic_segmentation INFO: Iters: 40/118880 || Lr: 0.000100 || Loss: 1.3376 || Cost Time: 0:00:09 || Estimated Time: 7:38:58
2025-01-02 00:40:08,546 semantic_segmentation INFO: Iters: 50/118880 || Lr: 0.000100 || Loss: 1.3295 || Cost Time: 0:00:10 || Estimated Time: 6:51:29
2025-01-02 00:40:09,667 semantic_segmentation INFO: Iters: 60/118880 || Lr: 0.000100 || Loss: 0.5533 || Cost Time: 0:00:11 || Estimated Time: 6:19:52
2025-01-02 00:40:10,787 semantic_segmentation INFO: Iters: 70/118880 || Lr: 0.000100 || Loss: 0.5954 || Cost Time: 0:00:12 || Estimated Time: 5:57:16
2025-01-02 00:40:11,910 semantic_segmentation INFO: Iters: 80/118880 || Lr: 0.000100 || Loss: 0.7813 || Cost Time: 0:00:13 || Estimated Time: 5:40:23
2025-01-02 00:40:13,031 semantic_segmentation INFO: Iters: 90/118880 || Lr: 0.000100 || Loss: 1.1290 || Cost Time: 0:00:14 || Estimated Time: 5:27:11
2025-01-02 00:40:14,157 semantic_segmentation INFO: Iters: 100/118880 || Lr: 0.000100 || Loss: 0.7380 || Cost Time: 0:00:16 || Estimated Time: 5:16:44
2025-01-02 00:40:15,282 semantic_segmentation INFO: Iters: 110/118880 || Lr: 0.000100 || Loss: 0.8131 || Cost Time: 0:00:17 || Estimated Time: 5:08:10
2025-01-02 00:40:16,413 semantic_segmentation INFO: Iters: 120/118880 || Lr: 0.000100 || Loss: 0.6558 || Cost Time: 0:00:18 || Estimated Time: 5:01:07
2025-01-02 00:40:17,596 semantic_segmentation INFO: Iters: 130/118880 || Lr: 0.000100 || Loss: 0.7041 || Cost Time: 0:00:19 || Estimated Time: 4:55:56
2025-01-02 00:40:18,751 semantic_segmentation INFO: Iters: 140/118880 || Lr: 0.000100 || Loss: 1.0443 || Cost Time: 0:00:20 || Estimated Time: 4:51:07
2025-01-02 00:40:19,878 semantic_segmentation INFO: Iters: 150/118880 || Lr: 0.000100 || Loss: 0.4774 || Cost Time: 0:00:21 || Estimated Time: 4:46:33
2025-01-02 00:40:21,027 semantic_segmentation INFO: Iters: 160/118880 || Lr: 0.000100 || Loss: 0.4174 || Cost Time: 0:00:22 || Estimated Time: 4:42:50
2025-01-02 00:40:22,183 semantic_segmentation INFO: Iters: 170/118880 || Lr: 0.000100 || Loss: 0.6903 || Cost Time: 0:00:24 || Estimated Time: 4:39:37
2025-01-02 00:40:23,337 semantic_segmentation INFO: Iters: 180/118880 || Lr: 0.000100 || Loss: 0.6648 || Cost Time: 0:00:25 || Estimated Time: 4:36:45
2025-01-02 00:40:24,467 semantic_segmentation INFO: Iters: 190/118880 || Lr: 0.000100 || Loss: 0.4241 || Cost Time: 0:00:26 || Estimated Time: 4:33:55
2025-01-02 00:40:25,712 semantic_segmentation INFO: Iters: 200/118880 || Lr: 0.000100 || Loss: 0.4658 || Cost Time: 0:00:27 || Estimated Time: 4:32:31
2025-01-02 00:40:26,865 semantic_segmentation INFO: Iters: 210/118880 || Lr: 0.000100 || Loss: 0.5799 || Cost Time: 0:00:28 || Estimated Time: 4:30:22
2025-01-02 00:40:28,067 semantic_segmentation INFO: Iters: 220/118880 || Lr: 0.000100 || Loss: 0.4583 || Cost Time: 0:00:29 || Estimated Time: 4:28:52
2025-01-02 00:40:29,226 semantic_segmentation INFO: Iters: 230/118880 || Lr: 0.000100 || Loss: 0.5266 || Cost Time: 0:00:31 || Estimated Time: 4:27:07
2025-01-02 00:40:30,420 semantic_segmentation INFO: Iters: 240/118880 || Lr: 0.000100 || Loss: 0.7209 || Cost Time: 0:00:32 || Estimated Time: 4:25:48
2025-01-02 00:40:31,552 semantic_segmentation INFO: Iters: 250/118880 || Lr: 0.000100 || Loss: 0.4801 || Cost Time: 0:00:33 || Estimated Time: 4:24:08
2025-01-02 00:40:32,685 semantic_segmentation INFO: Iters: 260/118880 || Lr: 0.000100 || Loss: 0.8750 || Cost Time: 0:00:34 || Estimated Time: 4:22:32
2025-01-02 00:40:33,818 semantic_segmentation INFO: Iters: 270/118880 || Lr: 0.000100 || Loss: 0.4312 || Cost Time: 0:00:35 || Estimated Time: 4:21:05
2025-01-02 00:40:34,951 semantic_segmentation INFO: Iters: 280/118880 || Lr: 0.000100 || Loss: 0.6726 || Cost Time: 0:00:36 || Estimated Time: 4:19:44
2025-01-02 00:40:36,101 semantic_segmentation INFO: Iters: 290/118880 || Lr: 0.000100 || Loss: 1.2314 || Cost Time: 0:00:38 || Estimated Time: 4:18:36
2025-01-02 00:40:37,233 semantic_segmentation INFO: Iters: 300/118880 || Lr: 0.000100 || Loss: 0.4200 || Cost Time: 0:00:39 || Estimated Time: 4:17:25
2025-01-02 00:40:38,367 semantic_segmentation INFO: Iters: 310/118880 || Lr: 0.000100 || Loss: 0.8902 || Cost Time: 0:00:40 || Estimated Time: 4:16:19
