2025-01-01 22:31:15,034 semantic_segmentation INFO: Using 1 GPUs
2025-01-01 22:31:15,034 semantic_segmentation INFO: Namespace(model='fcn8s', backbone='vgg16', dataset='citys', base_size=520, crop_size=480, workers=4, jpu=False, use_ohem=False, aux=False, aux_weight=0.4, batch_size=4, start_epoch=0, epochs=80, lr=0.001, momentum=0.9, weight_decay=0.0001, warmup_iters=0, warmup_factor=0.3333333333333333, warmup_method='linear', no_cuda=False, local_rank=0, resume=None, save_dir='~/.torch/models', save_epoch=10, log_dir='../runs/logs/', log_iter=10, val_epoch=1, skip_val=True, num_gpus=1, distributed=False, device='cuda')
Found 2975 images in the folder ../../.torch/datasets/citys/leftImg8bit/train
Found 500 images in the folder ../../.torch/datasets/citys/leftImg8bit/val
2025-01-01 22:31:17,305 semantic_segmentation INFO: Start training, Total Epochs: 80 = Total Iterations 59440
2025-01-01 22:31:23,750 semantic_segmentation INFO: Iters: 10/59440 || Lr: 0.001000 || Loss: 0.9413 || Cost Time: 0:00:06 || Estimated Time: 10:31:59
2025-01-01 22:31:24,867 semantic_segmentation INFO: Iters: 20/59440 || Lr: 0.001000 || Loss: 0.8429 || Cost Time: 0:00:07 || Estimated Time: 6:11:09
2025-01-01 22:31:25,980 semantic_segmentation INFO: Iters: 30/59440 || Lr: 0.001000 || Loss: 0.5634 || Cost Time: 0:00:08 || Estimated Time: 4:44:07
2025-01-01 22:31:27,092 semantic_segmentation INFO: Iters: 40/59440 || Lr: 0.000999 || Loss: 0.7017 || Cost Time: 0:00:09 || Estimated Time: 4:00:39
2025-01-01 22:31:28,261 semantic_segmentation INFO: Iters: 50/59440 || Lr: 0.000999 || Loss: 0.3886 || Cost Time: 0:00:10 || Estimated Time: 3:35:32
2025-01-01 22:31:29,524 semantic_segmentation INFO: Iters: 60/59440 || Lr: 0.000999 || Loss: 0.4346 || Cost Time: 0:00:12 || Estimated Time: 3:20:25
2025-01-01 22:31:30,774 semantic_segmentation INFO: Iters: 70/59440 || Lr: 0.000999 || Loss: 0.8004 || Cost Time: 0:00:13 || Estimated Time: 3:09:26
2025-01-01 22:31:31,985 semantic_segmentation INFO: Iters: 80/59440 || Lr: 0.000999 || Loss: 0.3513 || Cost Time: 0:00:14 || Estimated Time: 3:00:41
2025-01-01 22:31:33,252 semantic_segmentation INFO: Iters: 90/59440 || Lr: 0.000999 || Loss: 0.8099 || Cost Time: 0:00:15 || Estimated Time: 2:54:31
2025-01-01 22:31:34,449 semantic_segmentation INFO: Iters: 100/59440 || Lr: 0.000998 || Loss: 0.4051 || Cost Time: 0:00:17 || Estimated Time: 2:48:53
2025-01-01 22:31:35,757 semantic_segmentation INFO: Iters: 110/59440 || Lr: 0.000998 || Loss: 0.2342 || Cost Time: 0:00:18 || Estimated Time: 2:45:16
2025-01-01 22:31:37,004 semantic_segmentation INFO: Iters: 120/59440 || Lr: 0.000998 || Loss: 0.3680 || Cost Time: 0:00:19 || Estimated Time: 2:41:43
2025-01-01 22:31:38,245 semantic_segmentation INFO: Iters: 130/59440 || Lr: 0.000998 || Loss: 0.3289 || Cost Time: 0:00:20 || Estimated Time: 2:38:42
2025-01-01 22:31:39,461 semantic_segmentation INFO: Iters: 140/59440 || Lr: 0.000998 || Loss: 0.4130 || Cost Time: 0:00:22 || Estimated Time: 2:35:55
2025-01-01 22:31:40,691 semantic_segmentation INFO: Iters: 150/59440 || Lr: 0.000998 || Loss: 0.4120 || Cost Time: 0:00:23 || Estimated Time: 2:33:38
2025-01-01 22:31:41,927 semantic_segmentation INFO: Iters: 160/59440 || Lr: 0.000998 || Loss: 0.4199 || Cost Time: 0:00:24 || Estimated Time: 2:31:37
2025-01-01 22:31:43,184 semantic_segmentation INFO: Iters: 170/59440 || Lr: 0.000997 || Loss: 0.3926 || Cost Time: 0:00:25 || Estimated Time: 2:29:58
2025-01-01 22:31:44,480 semantic_segmentation INFO: Iters: 180/59440 || Lr: 0.000997 || Loss: 0.5396 || Cost Time: 0:00:27 || Estimated Time: 2:28:44
2025-01-01 22:31:45,737 semantic_segmentation INFO: Iters: 190/59440 || Lr: 0.000997 || Loss: 0.4485 || Cost Time: 0:00:28 || Estimated Time: 2:27:24
2025-01-01 22:31:46,952 semantic_segmentation INFO: Iters: 200/59440 || Lr: 0.000997 || Loss: 0.3421 || Cost Time: 0:00:29 || Estimated Time: 2:26:02
